"post_title","categories","post_name","post_author","post_excerpt","post_date","post_modified"
"Phần 1: Thứ ông ấy nghĩ không phải là khoa học đúng nghĩa","Đạo, ngữ dụng, tâm lý học nhận thức,Sách, thơ, phim,Cuộc cách mạng một cọng rơm,Đạo,hiểu lầm,nét nghĩa ẩn,sách,thay đổi góc nhìn,Tự nhiên, hệ thống, khoa học, quyền uy,triết học khoa học","phan-1-thu-ong-ay-nghi-khong-phai-la-khoa-hoc-dung-nghia","Lý Minh Nhật",,"2019-08-26 22:03:57","2021-04-13 05:24:04"
"Phản biện cuốn <em>Cuộc cách mạng một-cọng-rơm</em>","Đạo, ngữ dụng, tâm lý học nhận thức,Sách, thơ, phim,Cuộc cách mạng một cọng rơm,Đạo,hiểu lầm,nét nghĩa ẩn,sách,thay đổi góc nhìn,Tự nhiên, hệ thống, khoa học, quyền uy,triết học khoa học","phan-bien-cuon-cuoc-cach-mang-mot-cong-rom","Lý Minh Nhật",,"2019-08-27 14:41:30","2021-03-22 16:48:42"
"Cần bạn trợ giúp: kháng nghị Facebook","Uncategorized,lưu trữ","can-ban-tro-giup-khang-nghi-facebook","Lý Minh Nhật",,"2019-09-06 15:29:04","2019-09-06 15:29:04"
"Phản hồi của người dịch: bạn đọc sách không thấm rồi","Đạo, ngữ dụng, tâm lý học nhận thức,Sách, thơ, phim,Cuộc cách mạng một cọng rơm,Đạo,hiểu lầm,nét nghĩa ẩn,sách,thay đổi góc nhìn,Tự nhiên, hệ thống, khoa học, quyền uy,triết học khoa học,nghịch lý","phan-hoi-cua-nguoi-dich-ban-doc-sach-khong-tham-roi","Lý Minh Nhật",,"2019-09-06 23:52:24","2021-04-16 23:11:11"
"Rắc rối của từ bi (bản ngắn)","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Rắc rối của từ bi,hiểu lầm,Phật,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","rac-roi-cua-tu-bi-ban-ngan","Lý Minh Nhật",,"2019-09-23 20:45:27","2020-05-27 20:41:44"
"Khi đạo sĩ gặp rối loạn tâm lý","Đạo, ngữ dụng, tâm lý học nhận thức,Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi đạo sĩ gặp rối loạn tâm lý,Đạo,hiểu lầm,sợ hãi,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","khi-dao-si-gap-roi-loan-tam-ly","Lý Minh Nhật",,"2019-10-02 00:32:06","2020-08-10 21:02:59"
"Ví dụ về sự tương tác giữa Đạo gia và rối loạn tâm lý","Đạo, ngữ dụng, tâm lý học nhận thức,Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi đạo sĩ gặp rối loạn tâm lý,Đạo,hiểu lầm,sợ hãi,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi,Bất lực, bạo hành, tự quyết, can thiệp","vi-du-ve-su-tuong-tac-giua-dao-gia-va-roi-loan-tam-ly","Lý Minh Nhật","Một so sánh Đạo gia với một loại rối loạn tâm lý được xem là vô cùng khó chữa: rối loạn nhân cách tâm trạng không ổn định (EUPD)","2019-10-02 00:51:53","2020-12-12 00:26:57"
"Mối quan hệ của một bông hoa chết","Đạo, ngữ dụng, tâm lý học nhận thức,Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi đạo sĩ gặp rối loạn tâm lý,Đạo,hiểu lầm,sợ hãi,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi,Bất lực, bạo hành, tự quyết, can thiệp","moi-quan-he-cua-mot-bong-hoa-chet","Lý Minh Nhật",,"2019-10-02 01:14:55","2020-11-06 00:56:09"
"Kết luận","Đạo, ngữ dụng, tâm lý học nhận thức,Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi đạo sĩ gặp rối loạn tâm lý,Đạo,hiểu lầm,sợ hãi,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","bong-hoa-chet-ket-luan","Lý Minh Nhật",,"2019-10-02 01:20:23","2020-05-27 21:13:57"
"Trăm năm khép lại","Sách, thơ, phim,Dấu vết thiên di,tâm lý học trị liệu,thơ - tản văn,Bất lực, bạo hành, tự quyết, can thiệp,sự bất lực học được","tram-nam-khep-lai","Lý Minh Nhật",,"2019-10-13 22:32:24","2021-02-24 23:17:28"
"Nghiên cứu khoa học phong cách truyện tranh","Tài nguyên khác,Làm việc hiệu quả","nghien-cuu-khoa-hoc-phong-cach-truyen-tranh","Lý Minh Nhật",,"2019-10-21 00:19:29","2021-02-24 23:17:18"
"Rắc rối của từ bi","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Rắc rối của từ bi,hiểu lầm,nét nghĩa ẩn,Phật,tâm lý học nhận thức,tâm lý học trị liệu,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","rac-roi-cua-tu-bi","Lý Minh Nhật",,"2019-10-27 15:34:42","2021-05-09 14:05:41"
"Giải pháp","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Rắc rối của từ bi,hiểu lầm,nét nghĩa ẩn,Phật,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","giai-phap","Lý Minh Nhật",,"2019-10-27 15:43:44","2020-05-28 17:26:09"
"Rắc rối 3: Người ngoài không hiểu bạn","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Rắc rối của từ bi,hiểu lầm,nét nghĩa ẩn,Phật,tâm lý học nhận thức,tâm lý học trị liệu,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","rac-roi-3-nguoi-ngoai-khong-hieu-ban","Lý Minh Nhật",,"2019-10-27 16:03:58","2020-05-28 17:38:12"
"Rắc rối 2: Phải chịu những hậu quả của dính mắc mặc dù mình không có","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Rắc rối của từ bi,hiểu lầm,nét nghĩa ẩn,Phật,tâm lý học nhận thức,tâm lý học trị liệu,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","rac-roi-2-phai-chiu-nhung-hau-qua-cua-dinh-mac-mac-du-minh-khong-co","Lý Minh Nhật",,"2019-10-27 18:46:52","2020-05-28 17:46:38"
"Rắc rối 1: Bị nói là không biết tôn trọng sự khó chịu của họ","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Rắc rối của từ bi,hiểu lầm,nét nghĩa ẩn,Phật,tâm lý học nhận thức,tâm lý học trị liệu,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","rac-roi-1-bi-noi-la-khong-biet-ton-trong-su-kho-chiu-cua-ho","Lý Minh Nhật",,"2019-10-27 18:50:54","2021-03-06 02:54:20"
"Độc giả Quả Cầu là ai?","Meta,hiểu lầm","doc-gia-qua-cau-la-ai","Lý Minh Nhật",,"2019-11-01 22:13:02","2021-02-23 08:01:25"
"Bộ thẻ học từ vựng tiếng Anh nâng cao (GRE)","Tài nguyên khác,ngôn ngữ,nét nghĩa ẩn,Học tiếng Anh,khoa học nhận thức","bo-the-hoc-tu-vung-tieng-anh-nang-cao","Lý Minh Nhật",,"2019-11-21 13:54:39","2022-04-09 00:47:41"
"Tại sao Nho gia cũng là một trường phái để đạt tới vô vi?","Đạo, ngữ dụng, tâm lý học nhận thức,Sách, thơ, phim,Đạo,sách","tai-sao-nho-gia-cung-la-mot-truong-phai-de-dat-toi-vo-vi","Lý Minh Nhật",,"2019-11-25 17:17:14","2021-09-20 15:43:33"
"Tại sao ""đúng sai miễn bàn"" lại không phải là quan điểm của Đạo giáo?","Đạo, ngữ dụng, tâm lý học nhận thức,ngôn ngữ,Đạo,hiểu lầm,nét nghĩa ẩn,tâm lý học nhận thức,tâm lý học trị liệu,thay đổi góc nhìn","tai-sao-dung-sai-mien-ban-lai-khong-phai-la-quan-diem-cua-dao-giao","Lý Minh Nhật",,"2019-12-05 12:53:03","2020-05-29 00:32:30"
"Các phần mềm hữu ích","Tài nguyên khác,Làm việc hiệu quả","cac-phan-mem-huu-ich","Lý Minh Nhật","Nếu phải lựa ra một phần mềm để giới thiệu, tôi đề cử OneNote","2019-12-09 21:35:02","2022-03-15 02:07:31"
"500 nhóm Facebook hay","Tài nguyên khác,Làm việc hiệu quả","cac-nhom-facebook-hay","Lý Minh Nhật","500 nhóm Facebook ở 40 lĩnh vực khác nhau. Không quảng cáo, thành viên có hiểu biết sâu.","2019-12-17 20:57:36","2021-08-30 12:21:20"
"Duy vật lý dưới góc nhìn của vật lý và tâm lý học nhận thức","tâm lý học nhận thức,vật lý,Hiện tượng học, khoa học nhận thức, vật lý luận","duy-vat-ly-duoi-goc-nhin-cua-vat-ly-va-tam-ly-hoc-nhan-thuc","Lý Minh Nhật",,"2019-12-22 23:29:58","2021-03-31 20:00:42"
"Câu chuyện của Tiểu Cúc với người trăm năm","Sách, thơ, phim,Dấu vết thiên di,thơ - tản văn,Bất lực, bạo hành, tự quyết, can thiệp,bạo hành","cau-chuyen-cua-tieu-cuc-voi-nguoi-tram-nam","Lý Minh Nhật",,"2019-12-26 03:34:20","2021-05-13 18:19:05"
"Khi sự giúp đỡ trông như cưỡng ép","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi sự giúp đỡ trông như cưỡng ép,hiểu lầm,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","khi-su-giup-do-trong-nhu-cuong-ep","Lý Minh Nhật","Khi một con hươu bị mắc kẹt trong bùn, nó sẽ tìm mọi cách để được thoát ra. Có khi thành công, có khi bất lực. Nhưng dù thành công hay bất lực thì nỗi sợ với người lạ cũng không mất đi. Nó rõ ràng là muốn thoát khỏi vũng bùn đó, nhưng khi có người tiếp cận nó thì không cần biết họ tốt hay xấu nỗi sợ vẫn lấn át. Nó vùng vằng, tấn công ngược lại người đang giúp nó, và phải mất tới 45 phút để họ đẩy nó lên. Thà nó cứ như một cái xác chết thì có khi chỉ 5 phút là xong.","2019-12-31 13:30:04","2021-02-23 00:06:22"
"Anh Nguyễn Dương Minh gửi: Rắc rối của từ bi","Rắc rối của từ bi,độc giả phản hồi,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","anh-nguyen-duong-minh-gui-rac-roi-cua-tu-bi","Lý Minh Nhật","Vậy, ngay từ tiền đề của bài viết, bạn đã vướng vào chính điều mà bạn đưa ra: Bạn có thực sự biết người từ-bi là ai hay không? Làm sao bạn có thể đào sâu vào suy tư và biến đổi tâm lý của một người từ-bi, khi mà bạn còn chưa biết họ là ai? Hay là, bạn cho rằng bạn chính là một người từ-bi, và đây là những suy tư của bạn? ","2020-01-06 13:22:21","2022-04-21 17:43:22"
"Bạn Đoàn Phương Thảo gửi: Chuyện Tiểu Cúc","Sách, thơ, phim,Dấu vết thiên di,độc giả phản hồi","ban-doan-phuong-thao-gui-chuyen-tieu-cuc","Lý Minh Nhật",,"2020-01-05 23:57:39","2021-02-24 23:14:37"
"Giải quyết nhiều hiểu lầm, ngộ nhận và niềm tin sai phổ biến, một lần cho mãi mãi","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Rắc rối của từ bi,hiểu lầm,tâm lý học trị liệu,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","giai-quyet-nhieu-hieu-lam-ngo-nhan-va-niem-tin-sai-pho-bien-mot-lan-cho-mai-mai","Lý Minh Nhật","Một mục tiêu quan trọng để tôi khởi động dự án Quả Cầu này là để giải quyết những hiểu lầm phổ biến nhưng không ai biết cách xử lý, một lần cho mãi mãi. Sự nguy hiểm không đến từ bản thân sự hiểu sai đó, mà đến từ việc cái sai đó không có cơ hội để sửa lại cho đúng.","2020-01-10 01:10:27","2021-03-31 14:54:05"
"Bản ngã là gì nếu không phải là sự chú ý?","Đạo, ngữ dụng, tâm lý học nhận thức,hiểu lầm,tâm lý học nhận thức,Hiện tượng học, khoa học nhận thức, vật lý luận,hiện tượng học,khoa học nhận thức","ban-nga-la-gi-neu-khong-phai-la-su-chu-y","Lý Minh Nhật",,"2020-01-10 22:36:44","2021-03-07 03:05:27"
"Thử xây dựng lại Đạo giáo từ khoa học hiện đại","Đạo, ngữ dụng, tâm lý học nhận thức,Đạo,hiểu lầm","thu-xay-dung-lai-dao-giao-tu-khoa-hoc-hien-dai","Lý Minh Nhật","Trong cái này đã có cái kia, cái này đi đến cùng sẽ hóa thành cái kia","2020-01-10 22:58:45","2021-12-21 16:07:18"
"Bạn Nguyễn Trần Anh gửi: Chuyện Tiểu Cúc | Một lời đáp","Sách, thơ, phim,Dấu vết thiên di,độc giả phản hồi,thơ - tản văn","ban-nguyen-tran-anh-gui-chuyen-tieu-cuc-mot-loi-dap","Lý Minh Nhật","Chắc tại cơ duyên sảo hợp, mà mình được biết đến bài thơ này, cùng những lời bình trân trọng dành cho thơ và tác giả. Mà, bởi tác giả (bài viết) đã dành nhiều tâm, nhiều tình cho lời bình luận về bài thơ, mình đọc rồi, bỗng cảm thấy phải viết một điều gì, để hồi đáp cái tâm tình ấy. ","2020-01-13 15:46:48","2021-02-24 22:48:57"
"Hướng dẫn trợ giúp","Uncategorized,lưu trữ","huong-dan-tro-giup","Lý Minh Nhật",,"2020-01-15 00:44:38","2020-01-15 00:44:38"
"Ratatouille – những góc nhìn chưa từng có","Bài nổi bật,Sách, thơ, phim,hiểu lầm,nét nghĩa ẩn,sợ hãi,thay đổi góc nhìn,Bất lực, bạo hành, tự quyết, can thiệp,phim","ratatouille","Lý Minh Nhật","Không phải tất cả mọi người đều có thể trở thành một nghệ sĩ lớn, nhưng một nghệ sĩ lớn có thể đến từ bất cứ đâu.","2020-01-31 23:44:43","2021-12-28 22:11:41"
"CV người sáng lập","Meta","cv","Lý Minh Nhật",,"2020-02-10 22:11:35","2022-09-16 16:41:02"
"Xưng hô trong tình yêu","Đạo, ngữ dụng, tâm lý học nhận thức,ngôn ngữ,nữ quyền","xung-ho-trong-tinh-yeu","Lý Minh Nhật",,"2020-02-14 20:40:06","2021-03-05 18:37:36"
"Đôi khi","Sách, thơ, phim,Dấu vết thiên di,rối loạn nhân cách,thơ - tản văn","doi-khi","Lý Minh Nhật",,"2020-02-26 11:58:48","2021-02-23 20:16:53"
"Biết chửi thề trước khi biết nói","ngôn ngữ,dịch,sợ hãi,Cái đẹp, cảm xúc, ham muốn, đam mê,cảm xúc,đạo đức","biet-chui-the-truoc-khi-biet-noi","Lý Minh Nhật",,"2020-03-05 20:33:21","2021-03-31 19:41:26"
"Tham gia cùng Quả Cầu","Meta","tham-gia-cung-qua-cau","Lý Minh Nhật",,"2020-03-07 23:01:43","2023-07-03 21:47:26"
"Khi nào ta cần phải tác động? Khi nào sự cứng rắn là cần thiết?","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi sự giúp đỡ trông như cưỡng ép,hiểu lầm,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi,tự trị,can thiệp","khi-nao-su-tac-dong-la-can-thiet","Lý Minh Nhật",,"2020-03-15 22:42:23","2021-06-29 17:54:29"
"Làm sao để biết chắc chắn mình đúng? Nhỡ đâu chính mình mới có bóp méo?","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi sự giúp đỡ trông như cưỡng ép,hiểu lầm,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi,tự trị","lam-sao-de-biet-chac-chan-minh-dung","Lý Minh Nhật",,"2020-03-15 22:54:35","2021-02-24 22:11:12"
"Quyền thay đổi niềm tin của người khác","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi sự giúp đỡ trông như cưỡng ép,hiểu lầm,thay đổi góc nhìn,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi,can thiệp","quyen-thay-doi-niem-tin-cua-nguoi-khac","Lý Minh Nhật",,"2020-03-16 01:38:05","2021-02-24 22:10:49"
"Làm sao để không cảm thấy ngại khi hành động?","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi sự giúp đỡ trông như cưỡng ép,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi,can thiệp","lam-sao-de-khong-cam-thay-ngai-khi-hanh-dong","Lý Minh Nhật",,"2020-03-24 23:19:12","2021-02-24 22:11:07"
"Bản kế hoạch chiến lược dự án Quả Cầu","Meta,Kế hoạch cũ","ban-ke-hoach-chien-luoc-du-an-qua-cau","Lý Minh Nhật",,"2020-03-25 15:00:21","2023-07-03 20:59:51"
"love is more thicker than forget","Sách, thơ, phim,thơ - tản văn","love-is-more-thicker-than-forget","Lý Minh Nhật",,"2020-04-02 22:35:48","2020-04-02 22:35:48"
"<em>Trung Quán Minh Cú Luận</em>, bản tiếng Pháp","Tài nguyên khác,Làm việc hiệu quả,Sách, thơ, phim,Phật,sách,hiện tượng học,khoa học nhận thức","trung-quan-minh-cu-luan-ban-tieng-phap","Lý Minh Nhật",,"2020-04-06 14:08:07","2021-02-23 20:17:09"
"Một số suy nghĩ từ dự án Chữ VN Song Song","ngôn ngữ,Tự nhiên, hệ thống, khoa học, quyền uy","mot-so-suy-nghi-tu-du-an-chu-vn-song-song","Lý Minh Nhật",,"2020-04-07 23:02:57","2021-05-20 17:17:21"
"Chìa khóa học cách phát âm","Tài nguyên khác,ngôn ngữ,dịch,Học tiếng Anh","chia-khoa-hoc-cach-phat-am","Lý Minh Nhật",,"2020-04-08 00:33:51","2021-03-31 19:59:23"
"Một suy nghĩ về lập trình ngôn ngữ tư duy (NLP)","Đạo, ngữ dụng, tâm lý học nhận thức,ngôn ngữ","lap-trinh-ngon-ngu-tu-duy-nlp","Lý Minh Nhật",,"2020-04-11 23:39:19","2021-09-13 18:23:14"
"Tinh thần Quả Cầu","Meta","tinh-than-qua-cau","Lý Minh Nhật","Tại sao lại đặt tên là Quả Cầu?","2020-05-27 00:09:06","2022-03-31 22:51:35"
"12 người đàn ông giận dữ","Sách, thơ, phim,bạo hành,phim","12-nguoi-dan-ong-gian-du","Lý Minh Nhật",,"2020-05-26 22:21:06","2021-07-13 00:36:35"
"Sự bất lực học được là gì?","Bài nổi bật,sợ hãi,tâm lý học trị liệu,Bất lực, bạo hành, tự quyết, can thiệp,bạo hành,sự bất lực học được","su-bat-luc-hoc-duoc","Lý Minh Nhật",,"2020-05-26 23:47:00","2021-09-26 21:47:17"
"Tại sao không nên dùng ngực thay cho vú?","Đạo, ngữ dụng, tâm lý học nhận thức,ngôn ngữ","tai-sao-khong-nen-dung-nguc-thay-cho-vu","Lý Minh Nhật","Liệu ta có cần phải mãi ngại với nhau hay không? Tại sao không thể thẳng thắn gọi đúng tên của nó?","2020-05-27 01:41:04","2022-04-23 01:24:21"
"Chị Nguyễn Đan Khanh gửi: hãy giữ niềm tin sống như một người trẻ mới bước vào đời","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Khi sự giúp đỡ trông như cưỡng ép,độc giả phản hồi","chi-nguyen-dan-khanh-gui-hay-giu-niem-tin-song-nhu-mot-nguoi-tre-moi-buoc-vao-doi","Lý Minh Nhật",,"2020-05-27 01:53:51","2021-02-24 22:09:35"
"Đạo không thể giải thích được qua sự độc thoại, nhưng có thể thấy nó được qua sự đối thoại","Đạo, ngữ dụng, tâm lý học nhận thức,Đạo","dao-khong-the-giai-thich-duoc-qua-su-doc-thoai-nhung-co-the-thay-no-duoc-qua-su-doi-thoai","Lý Minh Nhật",,"2020-05-27 19:55:44","2020-06-21 16:54:09"
"Cảm xúc trong mỹ học","sách,Cái đẹp, cảm xúc, ham muốn, đam mê,cái đẹp,cảm xúc","cam-xuc-trong-my-hoc","Lý Minh Nhật",,"2020-06-01 17:15:31","2021-02-23 20:22:16"
"Vượn trần trụi - Vườn thú người","Sách, thơ, phim,sách,tò mò","vuon-tran-trui-vuon-thu-nguoi","Lý Minh Nhật",,"2020-06-01 17:17:46","2021-02-23 20:04:28"
"Những bức ảnh muốn gì?","dịch,sách,Cái đẹp, cảm xúc, ham muốn, đam mê,cái đẹp,nữ quyền","nhung-buc-anh-muon-gi","Lý Minh Nhật","Tác giả: W. J. T. Mitchell, giáo sư lịch sử nghệ thuật và Anh ngữ tại đại học Chicago","2020-06-02 13:46:48","2021-03-31 19:41:07"
"Một suy nghĩ về sự cộng hưởng","Cái đẹp, cảm xúc, ham muốn, đam mê,cái đẹp,cảm xúc,lãng mạn","mot-suy-nghi-ve-su-cong-huong","Lý Minh Nhật",,"2020-06-06 18:34:59","2021-02-23 20:27:59"
"Kinh nghiệm dịch: google thuật ngữ tiếng Việt","Làm việc hiệu quả,dịch","kinh-nghiem-google-thuat-ngu","Lý Minh Nhật",,"2020-06-07 15:09:32","2020-10-19 13:16:39"
"Kinh nghiệm dịch: công cụ dịch","Làm việc hiệu quả,dịch","kinh-nghiem-dich-cong-cu-dich","Lý Minh Nhật",,"2020-06-07 15:16:15","2020-10-19 13:38:12"
"Tại sao cảm xúc không phải là đúng nhất?","Cái đẹp, cảm xúc, ham muốn, đam mê,cảm xúc,Khi sự bất lực trở thành cái đẹp","tai-sao-cam-xuc-khong-phai-la-dung-nhat","Lý Minh Nhật",,"2020-06-20 16:00:23","2021-02-23 20:22:45"
"Tại sao cái đẹp không nhất thiết đi cùng với cái tốt?","Cái đẹp, cảm xúc, ham muốn, đam mê,cái đẹp,Khi sự bất lực trở thành cái đẹp,đạo đức","tai-sao-cai-dep-khong-nhat-thiet-di-cung-voi-cai-tot","Lý Minh Nhật",,"2020-06-20 19:58:39","2021-03-22 20:05:54"
"Khi sự bất lực trở thành cái đẹp","Bài nổi bật,Dấu vết thiên di,Cái đẹp, cảm xúc, ham muốn, đam mê,cái đẹp,Khi sự bất lực trở thành cái đẹp,Bất lực, bạo hành, tự quyết, can thiệp","khi-su-bat-luc-tro-thanh-cai-dep","Lý Minh Nhật","Chuyện gì sẽ xảy ra nếu một người đang tin rằng mình đang bất lực sáng tác hoặc thưởng thức một tác phẩm nghệ thuật nói về những nhân vật cũng tin rằng mình đang bất lực?","2020-06-20 21:17:40","2020-11-06 00:55:45"
"Khi sự nuông chiều trở thành cái ""đẹp""","Cái đẹp, cảm xúc, ham muốn, đam mê,cái đẹp,cảm xúc,Khi sự bất lực trở thành cái đẹp,Bất lực, bạo hành, tự quyết, can thiệp,giải trí","khi-su-nuong-chieu-tro-thanh-cai-dep","Lý Minh Nhật",,"2020-06-20 21:37:20","2021-02-23 20:30:00"
